judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,keamanan,taman,alamat_teks,latitude,longitude,url_listing,sumber_data,wilayah_scraping
Dijual Rumah Belanda di Pusat Kota Surabaya Raya Darmo Siap Huni,9000000000,420.0,300.0,6.0,2.0,1,,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/dijual-rumah-belanda-di-pusat-kota-surabaya-raya-darmo-siap-huni-hos42089633/,rumah123,Surabaya Selatan
Jual Rumah Dekat Royal Plaza Di Surabaya,3000000000,240.0,300.0,5.0,5.0,2,2.0,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/jual-rumah-dekat-royal-plaza-di-surabaya-hos40384256/,rumah123,Surabaya Selatan
Jual Rumah 2 Lantai Di Mangkunegara Surabaya,8000000000,426.0,600.0,5.0,5.0,2,6.0,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/jual-rumah-2-lantai-di-mangkunegara-surabaya-hos40097862/,rumah123,Surabaya Selatan
Jual Rumah 2 Lantai Dekat Mall Royal Plaza Surabaya,2700000000,240.0,200.0,6.0,4.0,2,1.0,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/jual-rumah-2-lantai-dekat-mall-royal-plaza-surabaya-hos40067115/,rumah123,Surabaya Selatan
Jual Rumah Hook Ngagel 1 Lantai,1100000000,144.0,80.0,3.0,2.0,1,1.0,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/jual-rumah-hook-ngagel-1-lantai-hos39923345/,rumah123,Surabaya Selatan
"Termurah Dijual Rumah Regency Kuda Dua, Jagir, Wonokromo",1750000000,144.0,200.0,3.0,3.0,2,,Unfurnished,1,1,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/termurah-dijual-rumah-regency-kuda-dua-jagir-wonokromo-hos42104317/,rumah123,Surabaya Selatan
Lelang Rumah | Jalan Ketintang Iv/17-B | Shgb,1500000000,188.0,188.0,,,1,,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/lelang-rumah-jalan-ketintang-iv17b-shgb-hos42383437/,rumah123,Surabaya Selatan
Rumah Strategis 2 Lantai Dekat Plaza Marina,1800000000,135.0,200.0,5.0,4.0,2,1.0,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,112.731598,https://www.rumah123.com/properti/surabaya-wonokromo/rumah-strategis-2-lantai-dekat-plaza-marina-hos42427998/,rumah123,Surabaya Selatan
Rumah Besar di Jalan Utama Surabaya,75000000000,1000.0,650.0,7.0,5.0,1,1.0,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,-7.304,https://www.rumah123.com/properti/surabaya-wonokromo/rumah-besar-di-jalan-utama-surabaya-hos42406768/,rumah123,Surabaya Selatan
RUMAH 1.5 LT DI JL BENGAWAN SURABAYA,53000000000,1511.0,1000.0,13.0,4.0,1,,Unfurnished,0,0,"Wonokromo, Surabaya",-7.304,-7.304,https://www.rumah123.com/properti/surabaya-wonokromo/rumah-15-lt-di-jl-bengawan-surabaya-hos39593108/,rumah123,Surabaya Selatan
