judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,kecamatan,jarak_ke_pusat_kota,rasio_bangunan_tanah,luas_bangunan_per_lantai,sumber_data
Rumah Pantai Mentari NEW GRESS MINIMALIS STRATEGIS MODERN,1950000000,90.0,135.0,4.0,3.0,2.0,,Unfurnished,Bulak,5.09,1.5,67.5,rumah123
Dijual Rumah 2Lt Baru Renovasi di Pantai Mentari Siap Huni,1500000000,108.0,150.0,2.0,2.0,2.0,1.0,Unfurnished,Bulak,5.09,1.3888888888888888,75.0,rumah123
Jual Rumah Surabaya di Pantai Mentari,3500000000,250.0,300.0,3.0,2.0,2.0,,Unfurnished,Bulak,5.09,1.2,150.0,rumah123
"Dijual Rumah Bagus, Kokoh,Gress di Pantai Mentari Kenjeran",5000000000,240.0,300.0,4.0,3.0,2.0,2.0,Unfurnished,Bulak,4.05,1.25,150.0,rumah123
Dijual Rumah Pantai Mentari Baru Gress,1850000000,90.0,135.0,4.0,3.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5,67.5,rumah123
"Rumah Pantai Mentari Claster Pasific Regency , Sby ( Rumah Sebelahan)",2200000000,102.0,156.0,3.0,3.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5294117647058822,78.0,rumah123
"Rumah Pantai Mentari Claster Pasific Regency , Sby",2200000000,102.0,156.0,3.0,3.0,2.0,2.0,Unfurnished,Bulak,5.09,1.5294117647058822,78.0,rumah123
"Pantai Mentari, Rumah, Butuh Renovasi, SHM - Sertifikat Hak Milik",1450000000,120.0,120.0,3.0,2.0,1.0,1.0,Unfurnished,Bulak,5.09,1.0,120.0,rumah123
"Pantai Mentari, Rumah, SHM - Sertifikat Hak Milik",2350000000,153.0,194.0,4.0,3.0,2.0,2.0,Unfurnished,Bulak,5.09,1.2679738562091503,97.0,rumah123
"Dijual Rumah Tengah Kota Jalan Kapuas, Surabaya",30000000000,685.0,252.0,6.0,3.0,2.0,2.0,Semi Furnished,Wonokromo,5.64,0.3678832116788321,126.0,rumah123
Rumah Usaha Jual Raya Diponegoro Sebelah Hotel Oval Murah,31900000000,800.0,1000.0,2.0,2.0,1.0,5.0,Unfurnished,Wonokromo,5.64,1.25,1000.0,rumah123
"RUMAH DIJUAL, Jl.Progo no.16 Surabaya, dekat Taman Bungkul",28000000000,827.0,475.0,4.0,2.0,1.0,1.0,Unfurnished,Wonokromo,5.64,0.5743651753325272,475.0,rumah123
Dijual Rumah Belanda di Pusat Kota Surabaya Raya Darmo Siap Huni,9000000000,420.0,300.0,6.0,2.0,1.0,,Unfurnished,Wonokromo,5.64,0.7142857142857143,300.0,rumah123
Jual Rumah Dekat Royal Plaza Di Surabaya,3000000000,240.0,300.0,5.0,5.0,2.0,2.0,Unfurnished,Wonokromo,5.64,1.25,150.0,rumah123
Jual Rumah 2 Lantai Di Mangkunegara Surabaya,8000000000,426.0,600.0,5.0,5.0,2.0,6.0,Unfurnished,Wonokromo,5.64,1.408450704225352,300.0,rumah123
Jual Rumah 2 Lantai Dekat Mall Royal Plaza Surabaya,2700000000,240.0,200.0,6.0,4.0,2.0,1.0,Unfurnished,Wonokromo,5.64,0.8333333333333334,100.0,rumah123
Jual Rumah Hook Ngagel 1 Lantai,1100000000,144.0,80.0,3.0,2.0,1.0,1.0,Unfurnished,Wonokromo,5.64,0.5555555555555556,80.0,rumah123
"Termurah Dijual Rumah Regency Kuda Dua, Jagir, Wonokromo",1750000000,144.0,200.0,3.0,3.0,2.0,,Unfurnished,Wonokromo,5.64,1.3888888888888888,100.0,rumah123
Rumah Strategis 2 Lantai Dekat Plaza Marina,1800000000,135.0,200.0,5.0,4.0,2.0,1.0,Unfurnished,Wonokromo,5.64,1.4814814814814814,100.0,rumah123
RUMAH 1.5 LT DI JL BENGAWAN SURABAYA,53000000000,1511.0,1000.0,13.0,4.0,1.0,,Unfurnished,Wonokromo,4.81,0.6618133686300464,1000.0,rumah123
