judul_listing,harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,lantai,carport,furnished,latitude,longitude,sumber_data
New House Semi Classic Babatan Pantai Utara Kenjeran Dkt Pakuwon,2850000000,150.0,210.0,4.0,4.0,2.0,2.0,Unfurnished,-7.28917,112.734,rumah123
Rumah Murah Sidotopo Wetan Mulia - Akses Mudah,1250000000,70.0,140.0,3.0,2.0,2.0,,Semi Furnished,-7.23121980002,112.762286,rumah123
Rumah Mewah 2 Lantai Dekat Pakuwon City dan Mulyosari,3500000000,204.0,400.0,4.0,3.0,2.0,2.0,Semi Furnished,-7.23563,112.786163,rumah123
Rumah Hook 2 Lantai di Margorejo Indah Surabaya,10000000000,559.0,450.0,8.0,5.0,2.0,6.0,Unfurnished,,,rumah123
Rumah Dijual Wonocolo,223282000,87.0,80.0,,,,,Unfurnished,-7.3273,112.7372,rumah123
"Wow, Rumah MURAH Dekat Plaza Marina Surabaya",2000000000,106.0,62.0,,1.0,1.0,,Furnished,-7.327112899999999,112.7370565,rumah123
"Rumah Sidosermopdk, Dekat Plaza Marina, Royal Plaza, Polda",3500000000,200.0,340.0,5.0,5.0,2.0,2.0,Semi Furnished,-7.3273,112.737198,rumah123
"Rumah Hitung Tanah Perum Bendul Merisi Surabaya Dekat Polda, Plaza Marina",775000000,90.0,75.0,4.0,2.0,2.0,1.0,Unfurnished,-7.3273,112.737198,rumah123
Dijual Rumah Jemur Andayani,2900000000,250.0,204.0,3.0,2.0,1.0,1.0,Semi Furnished,-7.3273,112.737198,rumah123
Dijual Rumah 2 Lantai Daerah Sidosermo,1000000000,31.0,31.0,2.0,2.0,2.0,1.0,Semi Furnished,-7.3273,112.737198,rumah123
Dijual Cepat Rumah Mewah di Jemur Andayani,29000000000,1410.0,722.0,4.0,4.0,1.0,4.0,Unfurnished,-7.3273,112.737198,rumah123
Jual Rumah di Jemur Andayani Surabaya Dekat Sekolah dan Gereja,11500000000,600.0,700.0,8.0,5.0,2.0,2.0,Unfurnished,-7.3273,112.737198,rumah123
Jual Rumah Baru 2 Lantai Sidosermo Surabaya,525000000,48.0,90.0,2.0,1.0,2.0,1.0,Unfurnished,-7.3273,112.737198,rumah123
Turun Harga Jual Rumah Sidosermo Turun Harga Dekat Plasa Marina,4000000000,400.0,350.0,5.0,4.0,2.0,1.0,Unfurnished,-7.3273,112.737198,rumah123
Rumah 2 Lantai bisa untuk kost Di Bendul Merisi dekat RSAL,1700000000,156.0,267.0,6.0,4.0,2.0,1.0,Furnished,-7.3273,112.7372,rumah123
Jual Rumah Bagus Shm Lebar 11m Bangunan 1 Lantai,4000000000,264.0,220.0,4.0,2.0,,1.0,Unfurnished,-7.3273,112.7372,rumah123
